match_id,timestamp,event_type,x,y,end_x,end_y,outcome,xT,is_progressive,is_recovery,is_complete,body_part,under_pressure,pass_length,pass_angle,team_id,player_id
LALIGA_24_25_M08,4.5,carry,58.85,28.81,59.87,26.57,success,0.1095,0,0,1,right_foot,0,2.47,-65.5,FCB,PEDRI_8
LALIGA_24_25_M08,10.6,pass,52.22,39.79,63.08,28.57,success,0.2418,0,0,1,right_foot,0,15.62,-45.9,FCB,PEDRI_8
LALIGA_24_25_M08,12.4,pass,51.49,50.44,71.84,35.71,success,0.3228,1,0,1,right_foot,0,25.12,-35.9,FCB,PEDRI_8
LALIGA_24_25_M08,40.6,pass,45.89,42.59,45.96,26.17,success,0.0,0,0,1,right_foot,0,16.42,-89.8,FCB,PEDRI_8
LALIGA_24_25_M08,115.2,pass,75.84,22.82,77.08,16.43,success,0.427,0,0,1,left_foot,0,6.51,-79.0,FCB,PEDRI_8
LALIGA_24_25_M08,144.8,pass,45.49,57.02,55.14,68.28,success,0.0463,0,0,1,left_foot,1,14.84,49.4,FCB,PEDRI_8
LALIGA_24_25_M08,145.3,pass,59.77,58.57,77.57,54.67,success,0.4098,1,0,1,head,1,18.22,-12.4,FCB,PEDRI_8
LALIGA_24_25_M08,154.2,dribble,39.99,40.12,32.9,47.78,fail,0.0,0,0,0,right_foot,0,10.44,132.8,FCB,PEDRI_8
LALIGA_24_25_M08,168.9,pass,56.25,38.32,82.29,30.24,fail,0.5012,1,0,0,right_foot,0,27.27,-17.2,FCB,PEDRI_8
LALIGA_24_25_M08,168.9,carry,36.08,37.88,45.25,39.39,success,0.0213,0,0,1,right_foot,1,9.29,9.4,FCB,PEDRI_8
LALIGA_24_25_M08,183.8,carry,71.18,33.87,77.92,35.03,success,0.4244,0,0,1,left_foot,0,6.84,9.8,FCB,PEDRI_8
LALIGA_24_25_M08,188.7,pass,69.0,36.26,83.02,29.64,success,0.5018,0,0,1,right_foot,0,15.51,-25.3,FCB,PEDRI_8
LALIGA_24_25_M08,214.4,carry,65.93,30.64,60.54,30.42,success,0.172,0,0,1,right_foot,1,5.4,-177.6,FCB,PEDRI_8
LALIGA_24_25_M08,223.8,pass,59.33,25.06,56.93,24.21,success,0.1118,0,0,1,right_foot,0,2.55,-160.6,FCB,PEDRI_8
LALIGA_24_25_M08,232.7,pass,44.91,52.94,51.18,56.29,success,0.0,0,0,1,left_foot,0,7.11,28.1,FCB,PEDRI_8
LALIGA_24_25_M08,280.4,pass,67.03,50.55,78.86,66.94,success,0.4468,0,0,1,head,1,20.21,54.2,FCB,PEDRI_8
LALIGA_24_25_M08,284.4,shot,54.75,28.55,79.36,28.98,on_target,0.4474,1,0,1,right_foot,1,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M08,288.4,pass,54.75,32.8,42.84,32.07,success,0.0226,0,0,1,right_foot,1,11.94,-176.5,FCB,PEDRI_8
LALIGA_24_25_M08,317.4,pass,66.09,37.88,78.77,40.48,success,0.4335,0,0,1,right_foot,0,12.94,11.6,FCB,PEDRI_8
LALIGA_24_25_M08,342.8,pass,32.82,30.72,30.09,17.3,success,0.0181,0,0,1,left_foot,0,13.69,-101.5,FCB,PEDRI_8
LALIGA_24_25_M08,382.5,pass,59.22,54.01,61.63,57.66,success,0.1564,0,0,1,left_foot,1,4.37,56.7,FCB,PEDRI_8
LALIGA_24_25_M08,398.2,pass,61.27,40.45,67.07,60.54,success,0.1809,0,0,1,right_foot,0,20.92,73.9,FCB,PEDRI_8
LALIGA_24_25_M08,430.5,dribble,52.52,37.06,54.25,36.65,fail,0.0342,0,0,0,right_foot,0,1.77,-13.2,FCB,PEDRI_8
LALIGA_24_25_M08,438.6,pass,47.94,31.51,47.14,42.65,success,0.0255,0,0,1,right_foot,0,11.17,94.1,FCB,PEDRI_8
LALIGA_24_25_M08,452.1,recovery,43.12,38.27,44.37,32.9,success,0.0,0,1,1,right_foot,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M08,503.1,dribble,33.29,43.39,30.25,46.0,success,0.0,0,0,1,left_foot,1,4.01,139.4,FCB,PEDRI_8
LALIGA_24_25_M08,511.2,pass,48.16,28.64,64.46,8.26,success,0.208,1,0,1,left_foot,0,26.1,-51.3,FCB,PEDRI_8
LALIGA_24_25_M08,531.1,carry,51.03,36.33,39.96,33.82,success,0.0005,0,0,1,left_foot,0,11.35,-167.2,FCB,PEDRI_8
LALIGA_24_25_M08,532.8,dribble,49.58,39.51,61.28,42.0,success,0.1395,0,0,1,left_foot,1,11.96,12.0,FCB,PEDRI_8
LALIGA_24_25_M08,548.0,carry,62.46,33.04,76.59,29.71,success,0.4267,0,0,1,left_foot,0,14.52,-13.3,FCB,PEDRI_8
LALIGA_24_25_M08,555.0,pass,77.13,45.22,85.27,36.3,success,0.5799,0,0,1,right_foot,0,12.08,-47.6,FCB,PEDRI_8
LALIGA_24_25_M08,556.7,carry,78.25,46.95,90.73,47.66,success,0.6116,0,0,1,right_foot,0,12.5,3.3,FCB,PEDRI_8
LALIGA_24_25_M08,557.8,carry,25.38,20.25,40.18,42.89,success,0.0311,0,0,1,right_foot,0,27.04,56.8,FCB,PEDRI_8
LALIGA_24_25_M08,582.8,carry,74.13,28.95,87.58,44.92,success,0.5716,0,0,1,right_foot,1,20.88,49.9,FCB,PEDRI_8
LALIGA_24_25_M08,593.7,dribble,65.02,7.67,69.7,9.57,success,0.2937,0,0,1,left_foot,1,5.05,22.0,FCB,PEDRI_8
LALIGA_24_25_M08,623.0,carry,57.61,25.71,65.81,32.85,success,0.2548,0,0,1,right_foot,0,10.88,41.1,FCB,PEDRI_8
LALIGA_24_25_M08,640.0,carry,67.09,32.52,61.84,18.69,success,0.2082,0,0,1,left_foot,0,14.79,-110.8,FCB,PEDRI_8
LALIGA_24_25_M08,661.4,pass,40.99,38.9,49.33,40.08,success,0.0568,0,0,1,right_foot,0,8.42,8.1,FCB,PEDRI_8
LALIGA_24_25_M08,674.6,pass,45.19,35.05,48.97,37.92,success,0.0,0,0,1,right_foot,1,4.75,37.2,FCB,PEDRI_8
LALIGA_24_25_M08,723.7,pass,60.21,39.88,63.6,33.58,success,0.2245,0,0,1,right_foot,1,7.15,-61.7,FCB,PEDRI_8
