match_id,timestamp,x,y,speed_m_per_s,accel_m_per_s2,distance_covered_m,high_intensity_run,sprint,distance_to_ball,distance_to_goal,touch,tackle,in_possession,zone_name
LALIGA_24_25_M30,0.0,57.38,32.03,4.63,9.26,2.31,0,0,12.359561795863424,63.12515584139179,0,0,0,central_middle
LALIGA_24_25_M30,0.5,54.63,34.53,7.42,5.59,6.03,1,1,38.247154118024014,65.59845882335956,0,0,0,central_middle
LALIGA_24_25_M30,1.0,57.17,35.31,5.31,-4.23,8.68,0,0,20.063630987626414,63.00480140433743,0,0,0,central_middle
LALIGA_24_25_M30,1.5,57.69,36.67,2.92,-4.77,10.14,0,0,32.96407314004411,62.398918259854476,0,0,0,central_middle
LALIGA_24_25_M30,2.0,56.45,34.71,4.63,3.42,12.46,0,0,33.63522490468702,63.76979378985006,0,0,0,central_middle
LALIGA_24_25_M30,2.5,56.73,35.53,1.72,-5.82,13.32,0,0,43.734832460161854,63.427705302966785,0,0,0,central_middle
LALIGA_24_25_M30,3.0,58.86,38.28,6.95,10.45,16.8,1,0,23.695643871916058,61.1641888689779,0,0,0,central_middle
LALIGA_24_25_M30,3.5,57.74,37.18,3.13,-7.64,18.36,0,0,4.7225958588396235,62.323831717891025,0,0,0,central_middle
LALIGA_24_25_M30,4.0,57.33,35.62,3.23,0.2,19.97,0,0,17.353537483250914,62.82287242716621,0,0,0,central_middle
LALIGA_24_25_M30,4.5,56.25,33.86,4.13,1.79,22.04,0,0,59.77131834378259,64.0450005855258,0,0,0,central_middle
LALIGA_24_25_M30,5.0,56.33,32.93,1.86,-4.52,22.97,0,0,31.473675458141415,64.06132842831157,0,0,0,central_middle
LALIGA_24_25_M30,5.5,57.17,33.93,2.61,1.49,24.27,0,0,14.817857579971975,63.12253005068792,0,0,0,central_middle
LALIGA_24_25_M30,6.0,57.41,34.18,0.7,-3.82,24.62,0,0,17.632291075571057,62.86000715876511,0,0,0,central_middle
LALIGA_24_25_M30,6.5,56.85,31.54,5.39,9.39,27.32,0,0,27.149971087489313,63.71415933683815,0,0,0,central_middle
LALIGA_24_25_M30,7.0,56.24,31.99,1.5,-7.78,28.07,0,0,13.949402910634877,64.26116790099601,0,0,0,central_middle
LALIGA_24_25_M30,7.5,55.11,34.14,4.87,6.72,30.5,0,0,34.14357249048523,65.15406127019251,0,0,0,central_middle
LALIGA_24_25_M30,8.0,53.86,35.85,4.24,-1.26,32.62,0,0,32.50435635613271,66.27006941297104,0,0,0,central_middle
