match_id,timestamp,event_type,x,y,end_x,end_y,outcome,xT,is_progressive,is_recovery,is_complete,body_part,under_pressure,pass_length,pass_angle,team_id,player_id
LALIGA_24_25_M19,4.1,pass,49.58,30.4,53.17,24.62,success,0.0457,0,0,1,right_foot,1,6.81,-58.1,FCB,PEDRI_8
LALIGA_24_25_M19,13.1,carry,29.73,29.11,26.38,24.5,success,0.0783,0,0,1,right_foot,0,5.7,-126.0,FCB,PEDRI_8
LALIGA_24_25_M19,33.0,pass,36.43,29.8,36.7,26.6,success,0.0017,0,0,1,left_foot,0,3.21,-85.2,FCB,PEDRI_8
LALIGA_24_25_M19,85.3,pass,50.92,38.69,75.88,41.49,fail,0.4062,1,0,0,chest,0,25.12,6.4,FCB,PEDRI_8
LALIGA_24_25_M19,96.6,dribble,77.24,38.64,97.55,47.68,success,0.7522,1,0,1,right_foot,1,22.23,24.0,FCB,PEDRI_8
LALIGA_24_25_M19,98.7,dribble,48.02,39.83,62.92,42.95,fail,0.2243,0,0,0,left_foot,0,15.22,11.8,FCB,PEDRI_8
LALIGA_24_25_M19,108.4,pass,56.06,23.34,60.09,13.61,success,0.1546,0,0,1,chest,1,10.54,-67.5,FCB,PEDRI_8
LALIGA_24_25_M19,143.5,recovery,54.39,49.61,56.3,54.6,success,0.0998,0,1,1,right_foot,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M19,182.2,shot,19.6,23.29,25.07,34.67,on_target,0.0066,0,0,1,head,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M19,184.3,shot,55.7,33.22,68.82,19.39,off_target,0.2046,0,0,0,left_foot,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M19,185.7,pass,53.32,35.51,63.22,35.85,success,0.1682,0,0,1,head,0,9.9,2.0,FCB,PEDRI_8
LALIGA_24_25_M19,193.0,pass,68.04,29.89,73.99,18.64,success,0.3903,0,0,1,left_foot,0,12.72,-62.1,FCB,PEDRI_8
LALIGA_24_25_M19,196.0,shot,59.18,40.57,68.6,40.68,on_target,0.2455,0,0,1,right_foot,1,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M19,198.0,dribble,64.15,38.75,70.21,39.67,success,0.324,0,0,1,head,1,6.13,8.6,FCB,PEDRI_8
LALIGA_24_25_M19,203.9,duel,71.62,34.39,70.68,37.12,success,0.3274,0,0,1,right_foot,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M19,278.1,pass,39.9,34.23,61.21,37.49,success,0.194,1,0,1,right_foot,0,21.56,8.7,FCB,PEDRI_8
