match_id,timestamp,x,y,speed_m_per_s,accel_m_per_s2,distance_covered_m,high_intensity_run,sprint,distance_to_ball,distance_to_goal,touch,tackle,in_possession,zone_name
LALIGA_24_25_M13,0.0,73.3,35.76,1.91,3.83,0.96,0,0,52.0764395977492,46.892084619901475,0,0,0,central_middle
LALIGA_24_25_M13,0.5,72.41,34.68,2.8,1.77,2.36,0,0,31.14811651611875,47.886433360608514,0,0,0,central_middle
LALIGA_24_25_M13,1.0,73.05,31.24,6.98,8.35,5.85,1,0,45.3528412900574,47.76023555218295,0,0,0,central_middle
LALIGA_24_25_M13,1.5,74.56,32.54,3.98,-6.0,7.84,0,0,28.36712524285743,46.048292042159396,0,0,0,central_middle
LALIGA_24_25_M13,2.0,70.34,32.78,8.44,8.91,12.05,1,1,11.49768093631737,50.18210836543239,0,0,0,central_middle
LALIGA_24_25_M13,2.5,70.29,35.98,6.41,-4.06,15.26,1,0,2.4642316268155895,49.87228188082033,0,0,0,central_middle
LALIGA_24_25_M13,3.0,69.11,35.52,2.53,-7.76,16.52,0,0,15.6939104673948,51.086813367051974,0,0,0,central_middle
LALIGA_24_25_M13,3.5,68.91,36.44,1.9,-1.26,17.47,0,0,12.855172608757037,51.21388190715483,0,0,0,central_middle
LALIGA_24_25_M13,4.0,66.78,37.63,4.87,5.95,19.91,0,0,8.14722428308632,53.27274443840865,0,0,0,central_middle
LALIGA_24_25_M13,4.5,64.3,38.18,5.09,0.44,22.45,0,0,27.33914321256629,55.72972635856021,0,0,0,central_middle
LALIGA_24_25_M13,5.0,63.74,34.76,6.93,3.68,25.92,1,0,46.30497518517282,56.50349723689676,0,0,0,central_middle
LALIGA_24_25_M13,5.5,63.02,34.86,1.47,-10.93,26.65,0,0,50.99253227441086,57.21136250780958,0,0,0,central_middle
LALIGA_24_25_M13,6.0,65.43,35.27,4.89,6.85,29.1,0,0,27.086521146358198,54.774609081215715,0,0,0,central_middle
LALIGA_24_25_M13,6.5,66.19,33.31,4.2,-1.37,31.2,0,0,28.656918927757843,54.22427685087188,0,0,0,central_middle
