match_id,timestamp,event_type,x,y,end_x,end_y,outcome,xT,is_progressive,is_recovery,is_complete,body_part,under_pressure,pass_length,pass_angle,team_id,player_id
LALIGA_24_25_M05,13.3,duel,30.78,49.29,28.44,52.29,success,0.0021,0,0,1,right_foot,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M05,15.2,duel,49.52,28.41,50.32,24.47,fail,0.0464,0,0,0,right_foot,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M05,20.7,carry,73.1,25.83,60.01,33.17,success,0.1755,0,0,1,right_foot,1,15.01,150.7,FCB,PEDRI_8
LALIGA_24_25_M05,29.5,pass,58.94,48.68,63.26,36.44,success,0.1717,0,0,1,left_foot,0,12.98,-70.6,FCB,PEDRI_8
LALIGA_24_25_M05,36.8,pass,55.26,31.62,64.5,40.12,success,0.2491,0,0,1,right_foot,0,12.56,42.6,FCB,PEDRI_8
LALIGA_24_25_M05,54.0,carry,39.3,42.23,40.52,55.71,success,0.0,0,0,1,left_foot,0,13.53,84.8,FCB,PEDRI_8
LALIGA_24_25_M05,56.9,shot,56.34,28.09,64.77,22.83,on_target,0.1731,0,0,1,head,1,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M05,63.9,pass,49.09,37.98,52.75,44.72,success,0.0088,0,0,1,right_foot,0,7.66,61.5,FCB,PEDRI_8
LALIGA_24_25_M05,65.6,pass,55.17,36.49,72.9,50.34,success,0.3715,1,0,1,right_foot,0,22.5,38.0,FCB,PEDRI_8
LALIGA_24_25_M05,68.6,pass,65.84,18.18,72.71,31.26,success,0.3602,0,0,1,chest,0,14.78,62.3,FCB,PEDRI_8
LALIGA_24_25_M05,87.6,pass,70.03,35.45,90.52,20.18,success,0.6217,1,0,1,head,0,25.55,-36.7,FCB,PEDRI_8
LALIGA_24_25_M05,93.5,carry,40.99,36.83,56.02,29.85,success,0.1094,1,0,1,right_foot,1,16.57,-24.9,FCB,PEDRI_8
LALIGA_24_25_M05,96.5,pass,37.87,40.08,37.59,36.07,success,0.0348,0,0,1,right_foot,0,4.02,-93.9,FCB,PEDRI_8
LALIGA_24_25_M05,153.6,pass,66.74,45.4,53.02,45.26,success,0.0745,0,0,1,right_foot,0,13.72,-179.4,FCB,PEDRI_8
LALIGA_24_25_M05,176.6,pass,55.69,35.58,58.86,39.45,success,0.1258,0,0,1,left_foot,0,5.0,50.7,FCB,PEDRI_8
LALIGA_24_25_M05,189.5,carry,33.63,36.97,48.78,31.44,success,0.0,1,0,1,chest,1,16.13,-20.1,FCB,PEDRI_8
LALIGA_24_25_M05,204.8,pass,78.56,34.67,108.64,21.69,success,0.8116,1,0,1,left_foot,0,32.76,-23.3,FCB,PEDRI_8
LALIGA_24_25_M05,211.8,pass,52.71,34.73,78.72,39.03,fail,0.4566,1,0,0,right_foot,1,26.36,9.4,FCB,PEDRI_8
LALIGA_24_25_M05,221.4,carry,27.72,32.23,32.86,32.42,success,0.0348,0,0,1,right_foot,1,5.14,2.1,FCB,PEDRI_8
LALIGA_24_25_M05,227.7,shot,62.93,21.72,72.35,24.91,blocked,0.402,0,0,0,left_foot,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M05,229.2,carry,36.79,42.97,55.45,33.05,success,0.1111,1,0,1,left_foot,0,21.13,-28.0,FCB,PEDRI_8
LALIGA_24_25_M05,237.5,shot,86.43,41.31,87.14,48.17,off_target,0.5756,0,0,0,head,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M05,246.5,shot,57.46,33.96,66.29,31.72,off_target,0.2043,0,0,0,right_foot,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M05,269.5,pass,34.12,29.9,47.51,24.49,success,0.0,0,0,1,right_foot,1,14.44,-22.0,FCB,PEDRI_8
LALIGA_24_25_M05,282.0,pass,54.35,35.75,36.49,36.38,success,0.0349,0,0,1,right_foot,0,17.87,178.0,FCB,PEDRI_8
LALIGA_24_25_M05,304.5,pass,49.46,35.53,54.74,17.51,success,0.0646,0,0,1,left_foot,1,18.78,-73.7,FCB,PEDRI_8
LALIGA_24_25_M05,314.1,shot,43.56,26.1,44.92,30.61,blocked,0.0174,0,0,0,left_foot,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M05,334.8,carry,65.01,49.42,85.63,37.53,success,0.5974,1,0,1,right_foot,0,23.8,-30.0,FCB,PEDRI_8
LALIGA_24_25_M05,337.4,duel,90.71,53.57,91.6,45.97,success,0.6434,0,0,1,right_foot,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M05,348.8,dribble,70.17,52.15,85.09,61.71,success,0.5162,0,0,1,right_foot,0,17.72,32.6,FCB,PEDRI_8
LALIGA_24_25_M05,355.4,pass,23.19,43.69,27.0,32.08,success,0.0,0,0,1,right_foot,0,12.22,-71.9,FCB,PEDRI_8
LALIGA_24_25_M05,358.3,pass,86.07,34.41,86.83,32.52,success,0.5851,0,0,1,left_foot,0,2.03,-68.2,FCB,PEDRI_8
LALIGA_24_25_M05,391.2,pass,48.53,28.56,74.45,19.13,fail,0.3948,1,0,0,right_foot,1,27.58,-20.0,FCB,PEDRI_8
LALIGA_24_25_M05,393.8,pass,37.14,38.66,26.4,39.05,success,0.0,0,0,1,right_foot,0,10.74,177.9,FCB,PEDRI_8
LALIGA_24_25_M05,396.3,carry,84.95,46.99,103.44,56.37,success,0.7757,1,0,1,right_foot,0,20.73,26.9,FCB,PEDRI_8
LALIGA_24_25_M05,411.4,pass,47.97,47.54,48.28,49.98,success,0.0,0,0,1,left_foot,0,2.46,82.8,FCB,PEDRI_8
